Date,Content,Probability,Sentiment
2022-04-22,Alphabet-owned Intrinsic is acquiring fellow robotic software firm Vicarious techcrunch.com/2022/04/22/alp…,0.9962393045425415,NEGATIVE
2022-04-22,  So ..... Would the feminists and the alphabet crew mean the end of the buffalo and beaver? Guess the beaver at least.,0.9990826845169067,NEGATIVE
2022-04-22," The way you shade is so pretty, it makes me want to cry 😭",0.9409098029136658,POSITIVE
2022-04-22,Alphabet-owned Intrinsic is acquiring fellow robotic software firm Vicarious dlvr.it/SP4drJ ,0.9823545217514038,NEGATIVE
2022-04-22, They are trying to make changes by deceit in the shadows of covid confusion. Eve bastardising english to some strange mix of Maori and English but using one alphabet,0.9993014335632324,NEGATIVE
2022-04-22, The Alphabet squad &amp; leftie brigade crossed the line when they went after children.,0.9479964375495911,POSITIVE
2022-04-22,It’s 25 letters in my alphabet cuz I get Ps gone 🦍🐐 ,0.9138471484184265,NEGATIVE
2022-04-22,We loved celebrating everything BLUE and GREEN for Earth Day and our Alphabet Countdown! 🌎💚💙 #BisforBlue #EarthDay2022 ,0.9986691474914551,POSITIVE
2022-04-22,  I saw alphabet people and spent 5 minutes trying to decipher what the ATF had to do with this,0.9998835325241089,NEGATIVE
2022-04-22,Alphabet-owned Intrinsic is acquiring fellow robotic software firm Vicarious – TechCrunch buytechnow.co.uk/alphabet-owned…,0.9763622879981995,NEGATIVE
2022-04-22,Has anyone asked her if she can count to 10 and/or recite the alphabet twitter.com/kylegriffin1/s…,0.9936769604682922,NEGATIVE
2022-04-22,"  Agree with Gianni, no DCFs is needed to see $GOOG trades at an attractive valuations at ~20x EV/FCF if keeps growing 15-20% (which is very reasonable to me)",0.6436624526977539,NEGATIVE
2022-04-22,eiruni most based on twitter. never cap,0.9998724460601807,NEGATIVE
2022-04-22,"Torture us against the Geneva Convention, hoes... Im cling ERRY Alphabet Agency RIGHT TF NOW and if I EVER see ANY of you... ITS ON SIGHT!!! Tf? twitter.com/frozenaestheti…",0.9908678531646729,NEGATIVE
2022-04-22,( *Teaching the kids the alphabet* Lev: V is for? Mischa (10) : Vulture! Abby (4) : VODKA!,0.9996448755264282,NEGATIVE
2022-04-22,"On Monday we'll hear from Coca-Cola, while Tuesday will see results from Microsoft, Alphabet, Visa, PepsiCo and UPS. Meta, Boeing, PayPal and Kraft Heinz are out on Wednesday, then on Thursday we'll get results from Apple, Amazon, Mastercard, Intel, McDonald's and Caterpillar.",0.9899094104766846,NEGATIVE
2022-04-22,Missing the alphabet boy,0.9991717338562012,NEGATIVE
2022-04-22,  She broke her oath of office which as anti-American as you can get. it's crazy how the people that say they love America the most never understand or support the laws of it. lol,0.8151906728744507,NEGATIVE
2022-04-22,Alphabet-owned Intrinsic is acquiring fellow robotic software firm Vicarious – TechCrunch edeshseba.info/alphabet-owned…,0.9761961698532104,NEGATIVE
2022-04-22,im a agenius who has 2 count the alphabet to find the letters,0.9994107484817505,NEGATIVE
2022-04-22,"  There is no letter Z or V in Cyrillic alphabet! It might mean ""zapad"" (west) and ""vostok"" (east)",0.9969038367271423,NEGATIVE
2022-04-22,  I'm not sure what buyers of Alphabet think they know about the company that sellers don't know. Any thoughts on that?,0.9897480010986328,NEGATIVE
2022-04-22, $AAPL $FB $MSFT $GOOG $AMZN Take your pick.  are playing IV to win.,0.792182981967926,NEGATIVE
2022-04-22,I’m pushin p that’s my favorite alphabet,0.9973561763763428,POSITIVE
2022-04-22,learning a new alphabet makes me feel like a toddler learning their ABCs again,0.9921869039535522,POSITIVE
2022-04-22,"I am not in the UK, I just joined in on this a little while back, happened to see people posting according to the #alphabet #CCabc but I have surely enjoyed seeing all the great Variety of posts for the letter V! #vintage ",0.9987493753433228,POSITIVE
2022-04-22,Form DEFA14A (additional definitive proxy soliciting materials and rule 14(a)(12) material) filed with the SEC $GOOG newsfilter.io/articles/defa1…,0.998525083065033,NEGATIVE
2022-04-22,Shows all the letters in the alphabet twitter.com/diimejii/statu…,0.9995135068893433,NEGATIVE
